"grammar","cross_count","avg_cross_lift","avg_cross_accuracy","avg_cross_surprise","min_cross_lift","max_cross_lift"
"chr1","23","0.997092056536525","0.998342418514783","0.001657581485217","0.995564045589054","0.997685088354663"
"chr2","23","0.996990708594949","0.998246339469186","0.001753660530814","0.99523442335302","0.997719291154194"
"chr3","23","0.996124359661724","0.99737908128749","0.00262091871251","0.994040220072893","0.997190022514075"
"chr7","23","0.995688340102081","0.996940599305933","0.003059400694067","0.993675006164375","0.996718056615636"
"chr4","23","0.995651560460723","0.996905363623564","0.003094636376436","0.993254519154658","0.996838393540331"
"chr6","23","0.995593278820279","0.996847496267611","0.003152503732388","0.993226769082027","0.996804133695412"
"chr5","23","0.995301493216709","0.9965590703857","0.0034409296143","0.992559490495047","0.99670136820221"
"chr11","23","0.995145140933554","0.996401127040266","0.003598872959734","0.993088699702249","0.996227680762175"
"chr8","23","0.995064302401978","0.99632106716375","0.00367893283625","0.992480922037873","0.996410462806067"
"chr10","23","0.994923187019778","0.996173990153897","0.003826009846103","0.992332382538667","0.996190931119136"
"chrX","23","0.994320299259278","0.995574994322575","0.004425005677425","0.990965648900122","0.996049764708302"
"chr12","23","0.994139794420719","0.995401054730647","0.004598945269353","0.990848775127967","0.995799807408682"
"chr9","23","0.993579202995651","0.994840675732467","0.005159324267533","0.990024189380796","0.995361042669585"
"chr17","23","0.992617854698057","0.993843825136469","0.006156174863531","0.990232144679685","0.993758691479421"
"chr16","23","0.99261289079899","0.993843280323602","0.006156719676398","0.990064793014677","0.993835739249197"
"chr15","23","0.991782158577645","0.9930305378492","0.0069694621508","0.988032993985129","0.993724278214262"
"chr14","23","0.991422471656154","0.992675672062827","0.007324327937173","0.986623784008416","0.993846419833789"
"chr13","23","0.991297268184007","0.992551113229397","0.007448886770603","0.986034478018154","0.994028464074141"
"chr18","23","0.989969101764817","0.991223438618622","0.008776561381378","0.984535293112696","0.992797351032327"
"chr20","23","0.989586183237974","0.99082990745818","0.00917009254182","0.985116086810739","0.991749388936176"
"chr19","23","0.988037557516741","0.989242080548355","0.010757919451645","0.986614675855743","0.98892561327191"
"chr22","23","0.982087569890313","0.983319088747002","0.016680911252998","0.979130918792026","0.984005280003207"
"chr21","23","0.977397286011734","0.97865793684252","0.021342063157479","0.965694611131678","0.983235733343255"
"chrY","23","0.965558295199053","0.966793965519867","0.033206034480133","0.95116123413596","0.973901411845046"
