mode,row,col,samples,null_kgram_accuracy,null_surprise,seed,train,block_size,rotation_offset
symbol_shuffle,chr1,chr1,200000,0.00032000000000000003,0.99968000000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr2,200000,0.00025000000000000001,0.99975000000000003,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr3,200000,0.00027500000000000002,0.99972499999999997,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr4,200000,0.00021000000000000001,0.99978999999999996,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr5,200000,0.00027,0.99973000000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr6,200000,0.00019000000000000001,0.99980999999999998,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr7,200000,0.00022499999999999999,0.99977499999999997,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr8,200000,0.00022000000000000001,0.99978,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr9,200000,0.00027,0.99973000000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr10,200000,0.00023000000000000001,0.99977000000000005,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr11,200000,0.00023499999999999999,0.99976500000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr12,200000,0.00022499999999999999,0.99977499999999997,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr13,200000,0.00022000000000000001,0.99978,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr14,200000,0.00022499999999999999,0.99977499999999997,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr15,200000,0.00027500000000000002,0.99972499999999997,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr16,200000,0.00023000000000000001,0.99977000000000005,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr17,200000,0.00029500000000000001,0.99970499999999995,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr18,200000,0.00022000000000000001,0.99978,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr19,200000,0.00027,0.99973000000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr20,200000,0.00022000000000000001,0.99978,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr21,200000,0.00023000000000000001,0.99977000000000005,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chr22,200000,0.00027,0.99973000000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chrX,200000,0.000175,0.99982499999999996,0x4b444e414e554c4c,0.69999999999999996,4096,4096
symbol_shuffle,chr1,chrY,200000,0.00023499999999999999,0.99976500000000001,0x4b444e414e554c4c,0.69999999999999996,4096,4096
rotation,chr1,chr1,200000,0.00025000000000000001,0.99975000000000003,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr2,200000,0.00022000000000000001,0.99978,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr3,200000,0.00026499999999999999,0.99973500000000004,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr4,200000,0.00024000000000000001,0.99975999999999998,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr5,200000,0.00029999999999999997,0.99970000000000003,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr6,200000,0.00024000000000000001,0.99975999999999998,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr7,200000,0.00018000000000000001,0.99982000000000004,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr8,200000,0.00027,0.99973000000000001,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr9,200000,0.00013999999999999999,0.99985999999999997,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr10,200000,0.00031,0.99968999999999997,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr11,200000,0.00030499999999999999,0.999695,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr12,200000,0.00023000000000000001,0.99977000000000005,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr13,200000,0.00023000000000000001,0.99977000000000005,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr14,200000,0.00023000000000000001,0.99977000000000005,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr15,200000,0.00026499999999999999,0.99973500000000004,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr16,200000,0.00023499999999999999,0.99976500000000001,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr17,200000,0.00018000000000000001,0.99982000000000004,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr18,200000,0.00022499999999999999,0.99977499999999997,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr19,200000,0.000195,0.99980500000000005,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr20,200000,0.000195,0.99980500000000005,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr21,200000,0.00029999999999999997,0.99970000000000003,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chr22,200000,0.00026499999999999999,0.99973500000000004,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chrX,200000,0.00022000000000000001,0.99978,0x4b444e411c010d18,0.69999999999999996,4096,4096
rotation,chr1,chrY,200000,0.00019000000000000001,0.99980999999999998,0x4b444e411c010d18,0.69999999999999996,4096,4096
block_boundary,chr1,chr1,200000,0.00031500000000000001,0.99968500000000005,0x4b444e410c19030f,0.69999999999999996,4096,4096
block_boundary,chr1,chr2,200000,0.00024499999999999999,0.99975499999999995,0x4b444e410c19030f,0.69999999999999996,4096,4096
block_boundary,chr1,chr3,200000,0.00033,0.99966999999999995,0x4b444e410c19030f,0.69999999999999996,4096,4096
block_boundary,chr1,chr4,200000,0.00024000000000000001,0.99975999999999998,0x4b444e410c19030f,0.69999999999999996,4096,4096
block_boundary,chr1,chr5,200000,0.00029,0.99970999999999999,0x4b444e410c19030f,0.69999999999999996,4096,4096
block_boundary,chr1,chr6,200000,0.00029,0.99970999999999999,0x4b444e410c19030f,0.69999999999999996,4096,4096
