"mode","row","col","observed_accuracy","observed_lift","observed_surprise","null_accuracy","null_surprise","delta_accuracy","samples"
"symbol_shuffle","chr1","chr1","0,998661785716068","0,997458348841509","0,00133821428393228","0,00032","0,99968","0,998341785716068","200000"
"symbol_shuffle","chr1","chr2","0,998641292144968","0,997437855270409","0,0013587078550325","0,00025","0,99975","0,998391292144968","200000"
"symbol_shuffle","chr1","chr3","0,997988939979797","0,996785503105239","0,00201106002020287","0,000275","0,999725","0,997713939979797","200000"
"symbol_shuffle","chr1","chr4","0,997639074081078","0,99643563720652","0,00236092591892225","0,00021","0,99979","0,997429074081078","200000"
"symbol_shuffle","chr1","chr5","0,99738082905245","0,996177392177892","0,00261917094754998","0,00027","0,99973","0,99711082905245","200000"
"symbol_shuffle","chr1","chr6","0,997548335432466","0,996344898557908","0,00245166456753395","0,00019","0,99981","0,997358335432466","200000"
"symbol_shuffle","chr1","chr7","0,997529418289912","0,996325981415354","0,00247058171008799","0,000225","0,999775","0,997304418289912","200000"
"symbol_shuffle","chr1","chr8","0,997099342549752","0,995895905675193","0,00290065745024831","0,00022","0,99978","0,996879342549752","200000"
"symbol_shuffle","chr1","chr9","0,995879693047668","0,99467625617311","0,00412030695233191","0,00027","0,99973","0,995609693047668","200000"
"symbol_shuffle","chr1","chr10","0,996913801248662","0,995710364374103","0,00308619875133843","0,00023","0,99977","0,996683801248662","200000"
"symbol_shuffle","chr1","chr11","0,997025134706904","0,995821697832346","0,00297486529309603","0,000235","0,999765","0,996790134706904","200000"
"symbol_shuffle","chr1","chr12","0,996376861008248","0,995173424133689","0,00362313899175246","0,000225","0,999775","0,996151861008247","200000"
"symbol_shuffle","chr1","chr13","0,994220711711208","0,99301727483665","0,00577928828879188","0,00022","0,99978","0,994000711711208","200000"
"symbol_shuffle","chr1","chr14","0,994152476941659","0,992949040067101","0,0058475230583408","0,000225","0,999775","0,993927476941659","200000"
"symbol_shuffle","chr1","chr15","0,994200782183349","0,992997345308791","0,0057992178166508","0,000275","0,999725","0,993925782183349","200000"
"symbol_shuffle","chr1","chr16","0,994538051116346","0,993334614241788","0,00546194888365357","0,00023","0,99977","0,994308051116346","200000"
"symbol_shuffle","chr1","chr17","0,994511989426069","0,993308552551511","0,00548801057393063","0,000295","0,999705","0,994216989426069","200000"
"symbol_shuffle","chr1","chr18","0,9929467115809","0,991743274706341","0,00705328841910033","0,00022","0,99978","0,9927267115809","200000"
"symbol_shuffle","chr1","chr19","0,989731187838186","0,988527750963628","0,0102688121618136","0,00027","0,99973","0,989461187838186","200000"
"symbol_shuffle","chr1","chr20","0,992104913199892","0,990901476325334","0,00789508680010821","0,00022","0,99978","0,991884913199892","200000"
"symbol_shuffle","chr1","chr21","0,981921083553099","0,980717646678541","0,0180789164469007","0,00023","0,99977","0,981691083553099","200000"
"symbol_shuffle","chr1","chr22","0,984447592319958","0,9832441554454","0,0155524076800417","0,00027","0,99973","0,984177592319958","200000"
"symbol_shuffle","chr1","chrX","0,99662948006711","0,995426043192551","0,00337051993289042","0,000175","0,999825","0,99645448006711","200000"
"symbol_shuffle","chr1","chrY","0,971694618022324","0,970491181147766","0,0283053819776759","0,000235","0,999765","0,971459618022324","200000"
"rotation","chr1","chr1","0,998661785716068","0,997458348841509","0,00133821428393228","0,00025","0,99975","0,998411785716068","200000"
