"mode","row","col","observed_accuracy","observed_lift","observed_surprise","null_accuracy","null_surprise","delta_accuracy","samples"
"block_boundary","chrY","chr7","0,997777833303551","0,996236488307786","0,00222216669644867","0,000855","0,999145","0,996922833303551","200000"
"block_boundary","chrY","chr19","0,989654160243344","0,988112815247579","0,0103458397566558","0,00083","0,99917","0,988824160243344","200000"
"block_boundary","chrY","chr10","0,997328579317558","0,995787234321793","0,00267142068244204","0,000825","0,999175","0,996503579317558","200000"
"block_boundary","chrY","chr3","0,998259645584035","0,99671830058827","0,00174035441596477","0,00079","0,99921","0,997469645584035","200000"
"block_boundary","chrY","chr9","0,996214151803427","0,994672806807662","0,00378584819657335","0,000785","0,999215","0,995429151803427","200000"
"block_boundary","chrY","chrX","0,996988988734325","0,99544764373856","0,00301101126567467","0,000785","0,999215","0,996203988734325","200000"
"block_boundary","chrY","chr5","0,997708426086614","0,996167081090849","0,00229157391338585","0,000785","0,999215","0,996923426086614","200000"
"block_boundary","chrY","chr20","0,992782406608173","0,991241061612408","0,00721759339182721","0,00077","0,99923","0,992012406608173","200000"
"block_boundary","chrY","chr2","0,998833075390876","0,997291730395111","0,00116692460912379","0,00077","0,99923","0,998063075390876","200000"
"block_boundary","chrY","chr17","0,994814776115033","0,993273431119268","0,00518522388496675","0,00077","0,99923","0,994044776115033","200000"
"block_boundary","chrY","chr6","0,997827554109866","0,996286209114101","0,00217244589013368","0,000745","0,999255","0,997082554109866","200000"
"block_boundary","chrY","chr18","0,993423224512913","0,991881879517148","0,00657677548708723","0,000745","0,999255","0,992678224512913","200000"
"block_boundary","chrY","chr16","0,994886833425708","0,993345488429943","0,00511316657429197","0,00073","0,99927","0,994156833425708","200000"
"block_boundary","chrY","chr11","0,99719342453694","0,995652079541175","0,00280657546305971","0,00072","0,99928","0,99647342453694","200000"
"block_boundary","chrY","chr14","0,994570967491174","0,993029622495409","0,00542903250882607","0,000715","0,999285","0,993855967491174","200000"
"block_boundary","chrY","chr12","0,996761964037471","0,995220619041706","0,00323803596252919","0,000715","0,999285","0,996046964037471","200000"
"block_boundary","chrY","chr4","0,997927752892136","0,996386407896371","0,00207224710786437","0,00071","0,99929","0,997217752892136","200000"
"block_boundary","chrY","chr15","0,994401487686907","0,992860142691142","0,00559851231309267","0,000685","0,999315","0,993716487686907","200000"
"block_boundary","chrY","chr13","0,994808340173099","0,993266995177334","0,00519165982690092","0,000675","0,999325","0,994133340173099","200000"
"block_boundary","chrY","chrY","0,978193009607978","0,976651664612213","0,0218069903920221","0,000665","0,999335","0,977528009607978","200000"
"block_boundary","chrY","chr22","0,984945700841266","0,983404355845501","0,0150542991587341","0,000655","0,999345","0,984290700841266","200000"
"block_boundary","chr22","chr12","0,992485603798593","0,990848775127967","0,00751439620140662","0,00064","0,99936","0,991845603798593","200000"
"block_boundary","chr22","chr16","0,991701621685303","0,990064793014677","0,00829837831469723","0,000635","0,999365","0,991066621685303","200000"
"block_boundary","chr22","chr17","0,991868973350311","0,990232144679685","0,00813102664968862","0,000635","0,999365","0,991233973350311","200000"
"block_boundary","chrY","chr21","0,983244845441485","0,981703500445721","0,0167551545585146","0,00063","0,99937","0,982614845441485","200000"
